IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20250211_19_1_1_9.fits,AT2025bbo,SDSS-G,60717.833276,966.0,1.224257,100.0,2025-02-11T19:59:55.041
h_e_20250211_19_2_1_9.fits,AT2025bbo,SDSS-G,60717.834652,1.062878,1.229328,100.0,2025-02-11T20:01:53.891
h_e_20250211_19_3_1_9.fits,AT2025bbo,SDSS-G,60717.836027,1.075662,1.23454,100.0,2025-02-11T20:03:52.732
h_e_20250211_30_1_1_9.fits,AT2025bcr,SDSS-G,60717.858013,1.009774,1.397272,100.0,2025-02-11T20:35:32.339
h_e_20250211_30_2_1_9.fits,AT2025bcr,SDSS-G,60717.859388,1.047794,1.404986,100.0,2025-02-11T20:37:31.125
h_e_20250211_30_3_1_9.fits,AT2025bcr,SDSS-G,60717.860764,1.087541,1.412903,100.0,2025-02-11T20:39:29.975
h_e_20250211_21_1_1_9.fits,AT2025bbo,SDSS-I,60717.841729,0.884259,1.257005,100.0,2025-02-11T20:12:05.412
h_e_20250211_21_2_1_9.fits,AT2025bbo,SDSS-I,60717.843105,0.7263626,1.262736,100.0,2025-02-11T20:14:04.229
h_e_20250211_21_3_1_9.fits,AT2025bbo,SDSS-I,60717.844479,0.8425014,1.268525,100.0,2025-02-11T20:16:03.015
h_e_20250211_32_1_1_9.fits,AT2025bcr,SDSS-I,60717.866469,0.8724189,1.447034,100.0,2025-02-11T20:47:42.951
h_e_20250211_32_2_1_9.fits,AT2025bcr,SDSS-I,60717.867845,0.9630432,1.455635,100.0,2025-02-11T20:49:41.778
h_e_20250211_32_3_1_9.fits,AT2025bcr,SDSS-I,60717.86922,1.064122,1.46439,100.0,2025-02-11T20:51:40.599
h_e_20250211_20_1_1_9.fits,AT2025bbo,SDSS-R,60717.837518,0.7813548,1.240255,100.0,2025-02-11T20:06:01.517
h_e_20250211_20_2_1_9.fits,AT2025bbo,SDSS-R,60717.838894,0.9345335,1.245626,100.0,2025-02-11T20:08:00.408
h_e_20250211_20_3_1_9.fits,AT2025bbo,SDSS-R,60717.840268,0.7356184,1.251098,100.0,2025-02-11T20:09:59.154
h_e_20250211_22_1_1_9.fits,ZTF25aafisps,SDSS-R,60717.847069,1.797672,1.491078,100.0,2025-02-11T20:19:46.761
h_e_20250211_22_2_1_9.fits,ZTF25aafisps,SDSS-R,60717.848444,1.020643,1.502501,100.0,2025-02-11T20:21:45.589
h_e_20250211_22_3_1_9.fits,ZTF25aafisps,SDSS-R,60717.84982,0.9132627,1.514164,100.0,2025-02-11T20:23:44.432
h_e_20250211_31_1_1_9.fits,AT2025bcr,SDSS-R,60717.862253,1.006687,1.42151,100.0,2025-02-11T20:41:38.672
h_e_20250211_31_2_1_9.fits,AT2025bcr,SDSS-R,60717.863628,0.9996873,1.429725,100.0,2025-02-11T20:43:37.490
h_e_20250211_31_3_1_9.fits,AT2025bcr,SDSS-R,60717.865004,1.199077,1.438016,100.0,2025-02-11T20:45:36.310
