IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20241006_112_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60590.065901,1.447024,1.525235,30.0,2024-10-07T01:34:53.871
h_e_20241007_78_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60591.068243,1.49492,1.506383,30.0,2024-10-08T01:38:16.202
h_e_20241008_53_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60592.076296,3.064655,1.47368,30.0,2024-10-09T01:49:51.969
h_e_20241009_73_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60593.066082,1.20185,1.495328,30.0,2024-10-10T01:35:09.451
h_e_20241010_76_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60594.094386,1.021064,1.433463,30.0,2024-10-11T02:15:54.909
h_e_20241011_78_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60595.053909,1.922801,1.518832,30.0,2024-10-12T01:17:37.765
h_e_20241012_4_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60596.073176,2.918815,1.455826,30.0,2024-10-13T01:45:22.380
h_e_20241013_136_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60597.087035,1.638811,1.432762,30.0,2024-10-14T02:05:19.816
h_e_20241016_26_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60600.043106,1.97893,1.50837,60.0,2024-10-17T01:02:04.400
h_e_20241017_40_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60601.048508,2.048945,1.482435,90.0,2024-10-18T01:09:51.067
h_e_20241018_35_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60602.036883,1.556797,1.511088,90.0,2024-10-19T00:53:06.654
h_e_20241019_63_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60603.117397,1.908433,1.470232,90.0,2024-10-20T02:49:03.120
h_e_20241021_42_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60605.03709,2.271205,1.483856,90.0,2024-10-22T00:53:24.605
h_e_20241022_67_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60606.027924,1.90601,1.50418,90.0,2024-10-23T00:40:12.646
h_e_20241023_74_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60607.085342,2.140727,1.434421,90.0,2024-10-24T02:02:53.530
